"","STAT_ID","duration","Continent","HCO3_avg","HCO3_dif","HCO3_slope","HCO3_rc","sc","sm","Shape_Area","carbonate","sedimentary","slope","annual_runoff"
"76",100302,2.8,"North America",229.528689655172,-3.27799999999996,-1.17531434184675,-1.00007016965802,0,0,7974778850.44,"low carbonate","low sedimentary","diminished",715.54
"77",100313,0.3,"North America",267.9575,24.583,85.4551904761906,9.61527930972442,0.02,0.01,762191532.57,"low carbonate","low sedimentary","augmented",739.83
"78",100314,0.3,"North America",263.041,126.194,438.674380952381,63.1146721081903,0,0,10820033.83,"low carbonate","low sedimentary","augmented",637
"79",100315,0.3,"North America",281.069,93.416,324.73180952381,39.8598742964913,0,0,59104820.21,"low carbonate","low sedimentary","augmented",637
"80",100316,0.3,"North America",2585.341,893.192,3104.90552380952,41.762435446956,0.31,0.000941895069040224,17941315.96,"low carbonate","low sedimentary","augmented",637
"81",100317,0.3,"North America",231.9025,139.305,479.682311320755,85.8582434514638,0,0,56229166.91,"low carbonate","low sedimentary","augmented",637
"82",100318,0.3,"North America",224.527,163.888,569.705904761905,114.942174031967,0,0,35745303.38,"low carbonate","low sedimentary","augmented",637
"83",100319,0.3,"North America",258.944,85.222,296.247904761905,39.3938973711824,0,0,24295257.89,"low carbonate","low sedimentary","augmented",637
"84",100320,0.3,"North America",191.8315,127.669,416.064151785714,99.7437439939999,0,0.00141590568621842,310896854.38,"low carbonate","low sedimentary","augmented",791
"85",100322,2.3,"North America",1444.677,555.582,244.616924004825,43.4058949865192,0.16,0.00259453214508322,159258204.81,"low carbonate","low sedimentary","augmented",637
"86",100324,0.3,"North America",205.68,54.084,201.435306122449,30.2757531992073,0,0,112161000.16,"low carbonate","low sedimentary","augmented",791
"87",100325,0.3,"North America",678.498,508.054,1655.71169642857,119.691097860631,0,0.12,704073529.28,"low carbonate","low sedimentary","augmented",740.65
"88",100326,0.3,"North America",272.055,104.888,390.654285714286,47.7608134383068,0,0,29665407.28,"low carbonate","low sedimentary","augmented",791
"89",100329,0.3,"North America",671.943,78.6659999999999,227.881666666666,12.4351496182482,0.04,0.01,12036376780.57,"low carbonate","low sedimentary","augmented",708.57
"90",100330,0.3,"North America",140.1245,63.917,222.187666666667,59.0915814581292,0,0,62112664.42,"low carbonate","low sedimentary","augmented",782.61
"91",100331,0.3,"North America",171.2635,142.583,495.645666666667,142.622934421638,0,0,58762008.98,"low carbonate","low sedimentary","augmented",791
"92",100332,0.3,"North America",102.1845,28.353,96.7181775700935,32.2163894191437,0,0.000966968321916936,1487653566.82,"low carbonate","low sedimentary","augmented",730.89
"93",100342,0.3,"North America",2359.994,721.11,2105.6412,36.0656164054017,0.23,0,406280840.02,"low carbonate","low sedimentary","augmented",711.06
"94",100343,0.3,"North America",1302.9135,245.833,773.526249999999,20.8333580509103,0.08,0.01,16723392803.23,"low carbonate","low sedimentary","augmented",698.51
"95",100344,0.3,"North America",887.456,463.804,1343.55920634921,70.7499305930556,0,0,255571315.01,"low carbonate","low sedimentary","augmented",531.96
"96",100345,0.3,"North America",807.9705,272.055,954.808413461539,40.487809233819,0,0,21447865.76,"low carbonate","low sedimentary","augmented",525.73
"97",100347,0.3,"North America",1653.635,258.944,807.816752136752,16.989259022821,0.03,0,35430880.33,"low carbonate","low sedimentary","augmented",524.66
"98",100348,0.3,"North America",1177.539,234.36,814.680000000001,22.1019484910299,0,0,36089641.35,"low carbonate","low sedimentary","augmented",524
"99",100349,0.3,"North America",1184.914,140.944,519.64202020202,12.6470466834523,0,0,12156879.34,"low carbonate","low sedimentary","augmented",524
"100",100350,33.2,"North America",742.204125,416.277,12.5477830539268,48.8461899509516,0.07,0.01,17534571403.19,"low carbonate","low sedimentary","augmented",691.29
